Identifier,Gender,Ethinicity,Parent Education,lunch,Coaching,Numerical,Vocabulary,Comprehension,internet,freetime,goout,health,absences,Mjob,Fjob,reason,guardian,traveltime,studytime
1096,male,group C,associate's degree,free/reduced,Yes,78,81,82,yes,1,2,1,2,at_home,other,home,mother,2,4
1097,male,group B,some high school,standard,Yes,65,66,62,yes,3,3,4,2,services,other,reputation,mother,2,1
1098,female,group E,some college,standard,Yes,63,72,70,no,3,5,5,2,other,other,course,mother,1,2
1099,female,group D,some college,free/reduced,none,58,67,62,yes,3,4,1,6,other,other,reputation,mother,1,1
1100,female,group D,bachelor's degree,standard,none,65,67,62,yes,3,5,3,0,other,at_home,course,mother,1,3
1101,male,group B,some college,standard,none,79,67,67,yes,5,5,4,14,services,services,other,mother,1,1
1102,male,group D,bachelor's degree,standard,Yes,68,74,74,yes,4,3,4,0,services,teacher,other,father,1,3
1103,female,group D,associate's degree,standard,none,85,91,89,yes,3,3,5,4,services,other,course,mother,1,1
1104,male,group B,high school,standard,Yes,60,44,47,yes,3,5,2,26,services,other,home,mother,2,2
1105,male,group C,some college,standard,Yes,98,86,90,yes,4,4,1,0,services,other,course,mother,1,2
1106,female,group C,some college,standard,none,58,67,72,no,3,3,4,10,other,health,reputation,father,1,4
1107,male,group C,associate's degree,free/reduced,none,42,45,38,yes,1,2,3,8,other,other,course,mother,1,4
1108,female,group D,master's degree,standard,none,87,100,100,yes,3,3,5,2,services,other,home,father,1,3
1109,male,group E,associate's degree,standard,Yes,66,63,64,yes,3,5,1,6,other,other,home,father,4,4
1110,female,group B,associate's degree,free/reduced,none,52,76,70,yes,4,5,4,4,health,health,other,mother,1,3
1111,female,group B,some high school,standard,none,70,64,72,yes,5,3,4,6,teacher,teacher,course,mother,1,1
1112,female,group D,associate's degree,free/reduced,Yes,77,89,98,yes,1,2,2,0,services,other,reputation,father,1,3
1113,male,group C,high school,standard,none,62,55,49,yes,1,2,5,6,at_home,other,home,mother,1,2
1114,male,group A,associate's degree,standard,none,54,53,47,yes,5,2,3,10,teacher,other,course,mother,1,1
1115,female,group D,some college,standard,none,51,58,54,yes,4,2,5,8,health,services,reputation,mother,1,2
1116,female,group E,bachelor's degree,standard,Yes,99,100,100,yes,4,4,5,2,teacher,teacher,course,father,1,2
1117,male,group C,high school,standard,none,84,77,74,no,4,3,2,2,other,teacher,reputation,father,2,2
1118,female,group B,bachelor's degree,free/reduced,none,75,85,82,yes,4,2,5,0,other,services,home,father,2,1
1119,female,group D,bachelor's degree,standard,none,78,82,79,yes,2,4,5,20,other,other,course,father,3,2
1120,female,group D,some high school,standard,none,51,63,61,yes,4,3,4,6,other,other,reputation,father,1,1
1121,female,,some high school,standard,none,52,48,57,yes,2,3,1,2,at_home,services,course,mother,1,2
1122,female,group C,some college,standard,none,55,69,65,yes,5,4,5,6,services,services,home,father,1,4
1123,female,group C,bachelor's degree,standard,Yes,79,92,89,yes,2,2,5,2,other,health,course,father,2,2
1124,male,group B,associate's degree,standard,Yes,91,89,92,yes,4,4,5,18,health,other,course,mother,1,1
1125,female,group C,some college,standard,Yes,88,93,93,yes,4,4,5,0,other,other,home,mother,1,2
1126,male,group D,high school,free/reduced,none,63,57,56,yes,5,5,5,0,services,services,home,father,1,1
1127,male,group E,some college,standard,none,83,80,73,yes,3,2,1,0,other,other,home,mother,1,2
1128,female,group B,high school,standard,none,87,95,86,no,4,2,5,2,at_home,other,course,other,1,2
1129,male,group B,some high school,standard,none,72,68,67,yes,3,3,4,0,services,other,reputation,mother,1,1
1130,male,group D,some college,standard,Yes,65,77,74,yes,5,5,4,8,teacher,teacher,course,mother,1,1
1131,male,group D,master's degree,standard,none,82,82,74,yes,2,2,5,0,services,teacher,course,father,2,3
1132,female,group B,associate's degree,standard,none,56,65,69,yes,3,3,4,0,at_home,other,course,mother,3,1
1133,female,group A,bachelor's degree,standard,none,51,49,51,yes,4,4,5,12,other,other,course,father,1,1
1134,male,group D,master's degree,standard,none,89,84,82,yes,2,1,5,16,services,other,course,father,1,1
1135,male,group C,some high school,free/reduced,Yes,53,37,40,no,3,3,5,0,at_home,teacher,course,mother,4,2
1136,male,group E,some college,free/reduced,Yes,87,74,70,yes,3,3,5,0,services,at_home,course,mother,1,3
1137,female,group C,some college,standard,Yes,75,81,84,no,4,5,5,0,at_home,other,course,mother,3,2
1138,male,group D,bachelor's degree,free/reduced,Yes,74,79,75,yes,3,2,5,0,other,other,course,other,2,1
1139,male,group C,bachelor's degree,standard,none,58,55,48,no,4,4,5,0,services,other,course,mother,1,2
1140,male,group B,some high school,standard,Yes,51,54,41,yes,3,2,5,0,teacher,teacher,course,mother,2,1
1141,male,group E,high school,standard,none,70,55,56,yes,2,2,3,0,teacher,services,course,father,2,4
1142,female,group C,associate's degree,standard,none,59,66,67,yes,3,3,2,8,services,services,reputation,father,2,1
1143,male,group D,some college,standard,Yes,71,61,69,yes,2,2,5,2,teacher,services,course,mother,1,3
1144,female,group D,some high school,standard,none,76,72,71,yes,4,4,1,2,at_home,at_home,course,mother,1,1
1145,female,group C,some college,free/reduced,none,59,62,64,yes,4,5,5,0,other,other,home,mother,1,1
1146,female,group E,some college,free/reduced,Yes,42,55,54,yes,4,2,5,0,other,services,course,father,1,2
1147,male,group A,high school,standard,none,57,43,47,yes,3,2,3,0,health,services,home,father,1,2
1148,male,group D,some college,standard,none,88,73,78,yes,3,2,5,2,at_home,other,course,mother,1,2
1149,female,group C,some college,free/reduced,none,22,39,33,yes,3,2,5,0,teacher,teacher,course,mother,1,1
1150,male,group B,some high school,standard,none,88,84,75,yes,5,5,5,0,services,other,course,mother,4,1
1151,male,group C,associate's degree,free/reduced,none,73,68,66,yes,3,5,4,0,other,other,course,mother,1,1
1152,female,group D,bachelor's degree,standard,Yes,68,75,81,no,4,4,5,6,at_home,other,course,mother,1,1
1153,male,group E,associate's degree,free/reduced,Yes,100,100,93,yes,2,1,3,8,services,services,reputation,other,2,3
1154,male,group A,some high school,standard,Yes,62,67,69,yes,5,4,4,0,services,at_home,home,mother,1,1
1155,male,group A,bachelor's degree,standard,none,77,67,68,no,2,1,4,0,other,teacher,course,mother,1,1
1156,female,group B,associate's degree,standard,Yes,59,70,66,no,4,4,1,2,at_home,services,course,mother,1,2
1157,male,group D,bachelor's degree,standard,none,54,49,47,no,2,2,5,8,other,other,reputation,mother,1,1
1158,male,group D,some high school,standard,none,62,67,61,no,2,5,4,6,at_home,other,course,mother,3,1
1159,female,group C,some college,standard,Yes,70,89,88,no,2,2,3,2,at_home,other,course,mother,3,1
1160,female,group E,high school,free/reduced,Yes,66,74,78,yes,5,5,5,4,other,services,course,father,1,2
1161,male,group B,some college,free/reduced,none,60,60,60,yes,3,2,5,0,at_home,other,course,mother,2,1
1162,female,group B,associate's degree,standard,Yes,61,86,87,yes,4,4,3,6,other,other,course,mother,2,2
1163,male,group D,associate's degree,free/reduced,none,66,62,64,no,4,4,5,0,other,other,course,mother,2,1
1164,male,group B,associate's degree,free/reduced,Yes,82,78,74,yes,3,3,2,2,at_home,services,course,father,1,1
1165,female,group E,some college,free/reduced,Yes,75,88,85,no,3,5,5,0,other,services,course,mother,4,2
1166,male,group B,master's degree,free/reduced,none,49,53,52,no,5,2,2,16,services,services,course,mother,2,1
1167,male,group C,high school,standard,none,52,53,49,yes,3,5,4,4,other,other,course,father,1,2
1168,female,group E,master's degree,standard,none,81,92,91,yes,2,3,3,0,health,services,home,father,1,2
1169,female,group C,bachelor's degree,standard,Yes,96,100,100,yes,1,5,4,0,other,other,home,mother,1,2
1170,male,group C,high school,free/reduced,Yes,53,51,51,yes,4,2,3,0,health,health,reputation,mother,1,2
1171,female,group B,master's degree,free/reduced,Yes,58,76,78,yes,4,5,2,0,other,other,course,father,3,1
1172,female,group B,high school,standard,Yes,68,83,78,yes,3,2,3,2,other,other,reputation,mother,2,2
1173,female,group C,some college,free/reduced,Yes,67,75,70,yes,4,4,5,0,teacher,other,reputation,mother,1,2
1174,male,group A,high school,standard,Yes,72,73,74,yes,3,5,3,0,at_home,services,home,mother,1,2
1175,male,group E,some high school,standard,none,94,88,78,yes,4,5,4,4,other,other,reputation,mother,2,2
1176,female,group D,some college,standard,none,79,86,81,yes,4,4,4,4,teacher,other,course,mother,2,2
1177,female,group C,associate's degree,standard,none,63,67,70,yes,4,4,5,2,services,other,reputation,mother,2,2
1178,female,group C,bachelor's degree,free/reduced,Yes,43,51,54,yes,3,4,4,4,other,other,reputation,father,1,2
1179,female,group C,master's degree,standard,Yes,81,91,87,yes,3,3,3,10,teacher,services,other,mother,1,1
1180,female,group B,high school,free/reduced,Yes,46,54,58,yes,2,3,2,4,other,other,course,mother,1,2
1181,female,group C,associate's degree,standard,Yes,71,77,77,yes,4,3,3,10,teacher,other,home,mother,1,2
1182,female,group B,master's degree,free/reduced,Yes,52,70,62,yes,2,3,3,2,services,other,home,mother,1,2
1183,female,group D,some high school,standard,Yes,97,100,100,no,4,2,5,0,services,services,reputation,father,1,2
1184,male,group C,master's degree,free/reduced,Yes,62,68,75,yes,3,3,1,56,other,other,reputation,mother,1,2
1185,female,group C,some college,free/reduced,none,46,64,66,yes,2,2,1,14,other,other,reputation,mother,1,2
1186,female,group E,high school,standard,none,50,50,47,yes,3,4,4,12,services,services,other,mother,1,2
1187,female,group D,associate's degree,standard,none,65,69,70,yes,3,3,3,2,services,services,other,mother,1,1
1188,male,group C,some high school,free/reduced,Yes,45,52,49,yes,2,3,5,0,other,other,course,mother,1,2
1189,male,group C,associate's degree,free/reduced,Yes,65,67,65,yes,3,3,3,6,health,other,reputation,mother,1,2
1190,male,group E,high school,standard,none,80,76,65,no,1,3,3,4,at_home,other,home,mother,1,2
1191,male,group D,some high school,standard,Yes,62,66,68,yes,3,3,2,10,services,services,course,mother,1,2
1192,male,group B,some high school,free/reduced,none,48,52,45,yes,3,3,3,0,at_home,services,course,mother,1,2
1193,female,group C,bachelor's degree,standard,none,77,88,87,yes,4,4,5,12,at_home,services,other,other,2,2
1194,female,group E,associate's degree,standard,none,66,65,69,yes,3,2,5,8,services,services,reputation,mother,1,1
1195,male,group D,some college,standard,Yes,76,83,79,yes,3,3,3,0,other,other,home,father,2,1
1196,female,group B,some high school,standard,none,62,64,66,yes,3,2,5,0,services,services,course,father,1,2
1197,male,group D,some college,standard,Yes,77,62,62,yes,2,3,5,4,services,teacher,home,mother,1,1
1198,female,group C,master's degree,standard,Yes,69,84,85,yes,3,4,3,8,teacher,other,home,father,3,1
1199,male,group D,associate's degree,standard,none,61,55,52,yes,2,4,2,24,services,teacher,home,mother,2,1
1200,male,group C,some high school,free/reduced,Yes,59,69,65,yes,5,2,3,0,teacher,teacher,reputation,mother,1,2
1201,male,group E,high school,free/reduced,none,55,56,51,yes,3,5,2,2,health,other,home,mother,1,2
1202,female,group B,some college,free/reduced,none,45,53,55,no,4,3,4,6,other,other,reputation,mother,1,2
1203,female,group B,bachelor's degree,free/reduced,none,78,79,76,no,4,4,1,4,other,other,course,mother,1,2
1204,female,group C,associate's degree,standard,Yes,67,84,86,yes,3,2,3,18,other,other,reputation,mother,1,1
1205,female,group D,some college,free/reduced,none,65,81,77,yes,3,5,5,6,services,services,reputation,mother,2,4
1206,male,group C,associate's degree,standard,none,69,77,69,yes,4,3,5,28,at_home,services,home,mother,1,3
1207,female,group B,associate's degree,standard,none,57,69,68,yes,3,3,4,5,services,other,course,mother,1,2
1208,male,group C,some college,standard,none,59,41,42,yes,3,2,1,10,teacher,other,other,mother,1,2
1209,male,group D,some high school,standard,Yes,74,71,78,no,3,2,5,6,at_home,other,home,mother,2,1
1210,male,group E,bachelor's degree,standard,none,82,62,62,yes,4,2,4,6,teacher,other,reputation,mother,2,3
1211,male,group E,high school,standard,Yes,81,80,76,yes,3,3,3,10,other,other,reputation,other,1,4
1212,female,group B,some college,free/reduced,none,74,81,76,yes,3,5,3,13,services,other,home,mother,1,2
1213,female,group B,some college,free/reduced,none,58,61,66,yes,3,4,4,0,other,other,reputation,mother,1,2
1214,male,group D,some high school,free/reduced,Yes,80,79,79,yes,4,4,5,15,services,other,home,mother,1,2
1215,male,group C,some college,free/reduced,none,35,28,27,no,2,1,3,12,services,other,other,mother,1,1
1216,female,group C,high school,free/reduced,none,42,62,60,yes,4,4,1,2,other,other,reputation,mother,2,2
1217,male,group C,associate's degree,free/reduced,Yes,60,51,56,yes,4,5,1,22,other,other,reputation,mother,1,2
1218,male,group E,high school,standard,Yes,87,91,81,yes,2,4,4,13,services,health,home,father,1,2
1219,male,group B,some high school,standard,Yes,84,83,75,no,3,3,3,3,at_home,other,home,father,2,1
1220,female,group E,associate's degree,free/reduced,Yes,83,86,88,yes,3,3,4,4,at_home,at_home,course,mother,1,3
1221,female,group C,high school,free/reduced,none,34,42,39,yes,2,5,5,2,at_home,services,reputation,mother,2,2
1222,male,group B,high school,free/reduced,none,66,77,70,no,3,4,5,0,at_home,other,reputation,mother,1,3
1223,male,group B,some high school,standard,Yes,61,56,56,yes,3,1,3,2,services,teacher,other,mother,1,2
1224,female,group D,high school,standard,Yes,56,68,74,yes,3,3,4,0,other,other,home,mother,2,2
1225,male,group B,associate's degree,standard,none,87,85,73,yes,3,2,5,0,teacher,services,home,mother,1,3
1226,female,group C,some high school,free/reduced,none,55,65,62,yes,3,3,4,16,other,other,reputation,mother,1,2
1227,male,group D,some high school,standard,none,86,80,75,yes,3,4,3,10,other,other,course,mother,1,2
1228,female,group B,associate's degree,standard,Yes,52,66,73,yes,3,3,3,2,services,services,reputation,father,1,2
1229,female,group E,master's degree,free/reduced,none,45,56,54,yes,3,2,3,14,at_home,other,course,mother,4,2
1230,female,group C,some college,standard,none,72,72,71,yes,2,3,3,10,other,other,course,mother,2,3
1231,female,group E,associate's degree,free/reduced,Yes,61,58,57,yes,2,3,3,14,health,other,reputation,father,1,2
1232,male,group D,high school,standard,none,57,50,54,yes,5,2,1,4,other,other,course,father,2,2
1233,male,group A,some high school,free/reduced,none,68,72,64,yes,5,5,2,14,teacher,teacher,reputation,mother,1,2
1234,female,group C,some college,standard,Yes,88,95,94,yes,2,4,1,2,health,other,reputation,father,1,2
1235,male,group D,some college,standard,none,76,64,66,yes,4,2,5,18,other,other,home,mother,2,2
1236,male,group C,associate's degree,standard,none,46,43,42,yes,3,3,2,10,at_home,other,reputation,mother,2,3
1237,female,group B,bachelor's degree,standard,none,67,86,83,yes,4,2,4,4,other,other,home,father,1,2
1238,male,group E,some high school,standard,none,92,87,78,yes,5,2,5,20,other,other,home,mother,1,1
1239,male,group C,bachelor's degree,standard,Yes,83,82,84,no,1,1,3,2,at_home,services,course,mother,3,2
1240,male,group D,associate's degree,standard,none,80,75,77,yes,5,4,2,0,other,services,reputation,father,1,2
1241,male,group D,bachelor's degree,free/reduced,none,63,66,67,yes,5,5,5,14,health,other,course,mother,2,2
1242,female,group D,some high school,standard,Yes,64,60,74,yes,3,3,4,2,teacher,other,course,mother,2,2
1243,male,group B,some college,standard,none,54,52,51,yes,4,5,3,0,teacher,other,course,mother,1,1
1244,male,group C,associate's degree,standard,none,84,80,80,yes,3,2,5,0,services,services,course,mother,1,1
1245,male,group D,high school,free/reduced,Yes,73,68,66,yes,4,4,3,0,other,other,course,other,2,3
1246,female,group E,bachelor's degree,standard,none,80,83,83,yes,3,3,4,6,other,other,course,mother,3,1
1247,female,group D,high school,standard,none,56,52,55,yes,2,2,2,4,other,other,course,father,2,1
1248,male,group E,some college,standard,none,59,51,43,yes,4,5,1,16,services,services,other,mother,1,1
1249,male,group D,some high school,standard,none,75,74,69,yes,3,3,5,8,other,services,course,mother,1,2
1250,male,group C,associate's degree,standard,none,85,76,71,yes,3,2,5,0,other,other,other,mother,1,1
1251,male,group E,associate's degree,standard,none,89,76,74,yes,4,5,5,0,services,other,course,mother,2,1
1252,female,group B,high school,standard,Yes,58,70,68,yes,3,3,2,6,at_home,other,reputation,other,3,2
1253,female,group B,high school,standard,none,65,64,62,yes,2,5,5,4,services,services,other,mother,1,1
1254,male,group C,high school,standard,none,68,60,53,no,3,2,3,0,other,other,course,mother,2,1
1255,male,group A,some high school,standard,Yes,47,49,49,yes,4,2,5,0,other,other,course,mother,1,1
1256,female,group D,some college,free/reduced,none,71,83,83,yes,4,4,5,2,health,other,course,mother,2,1
1257,female,group B,some high school,standard,Yes,60,70,70,yes,2,3,4,6,teacher,services,reputation,mother,1,4
1258,male,group D,master's degree,standard,none,80,80,72,yes,3,1,1,12,services,at_home,reputation,mother,1,2
1259,male,group D,high school,standard,none,54,52,52,yes,2,4,4,8,other,other,home,mother,1,2
1260,female,group E,some college,standard,none,62,73,70,yes,4,1,2,0,services,services,course,father,1,4
1261,female,group C,associate's degree,free/reduced,none,64,73,68,yes,1,2,2,21,services,other,home,father,1,2
1262,male,group C,associate's degree,standard,Yes,78,77,77,yes,3,2,3,2,teacher,other,course,mother,1,2
1263,female,group B,some college,standard,none,70,75,78,no,3,2,3,1,other,other,course,mother,1,3
1264,female,group C,master's degree,free/reduced,Yes,65,81,81,no,2,3,4,4,other,other,home,mother,1,3
1265,female,group C,some high school,free/reduced,Yes,64,79,77,yes,3,3,3,0,at_home,services,home,mother,1,3
1266,male,group C,some college,standard,Yes,79,79,78,yes,2,5,1,13,other,other,reputation,mother,2,2
1267,female,group C,some high school,free/reduced,none,44,50,51,yes,4,4,5,2,services,other,other,mother,1,2
1268,female,group E,high school,standard,none,99,93,90,yes,3,4,4,8,teacher,other,reputation,mother,2,2
1269,male,group D,high school,standard,none,76,73,68,yes,4,5,5,10,health,other,reputation,father,1,2
1270,male,group D,some high school,free/reduced,none,59,42,41,yes,3,5,3,0,other,other,reputation,mother,2,2
1271,female,group C,bachelor's degree,standard,none,63,75,81,yes,3,5,5,15,other,services,home,other,1,2
1272,female,group D,high school,standard,none,69,72,77,yes,5,5,2,4,other,services,reputation,father,1,4
1273,female,group D,associate's degree,standard,Yes,88,92,95,no,4,3,3,2,other,other,home,mother,2,2
1274,female,group E,some college,free/reduced,none,71,76,70,no,5,2,1,2,at_home,at_home,home,mother,1,2
1275,male,group C,bachelor's degree,standard,none,69,63,61,yes,3,3,1,2,at_home,health,reputation,mother,2,2
